1968-02-01,1968-02-01
1968-02-02,1968-02-01
1968-03-19,1968-03-20
1968-03-20,1968-03-20
1968-03-21,1968-03-20
1968-05-20,1968-05-22
1968-05-21,1968-05-22
1968-05-22,1968-05-22
1968-05-24,1968-05-22
1968-07-01,1968-07-03
1968-07-02,1968-07-03
1968-07-04,1968-07-03
1968-07-05,1968-07-03
1968-09-23,1968-09-24
1968-09-24,1968-09-24
1968-09-25,1968-09-24
1968-09-26,1968-09-24
1968-11-12,1968-11-13
1968-11-13,1968-11-13
1968-11-14,1968-11-13
1968-12-05,1968-12-05
1968-12-06,1968-12-05
1969-01-14,1969-01-15
1969-01-15,1969-01-15
1969-01-16,1969-01-15
1969-01-17,1969-01-15
1971-01-06,1971-01-06
1971-01-07,1971-01-06
1971-01-18,1971-01-19
1971-01-20,1971-01-19
1971-01-24,1971-01-24
1971-01-25,1971-01-24
1971-03-01,1971-03-02
1971-03-02,1971-03-02
1971-03-03,1971-03-02
1971-03-04,1971-03-02
1971-03-15,1971-03-15
1971-03-16,1971-03-15
1971-03-23,1971-03-23
1971-03-24,1971-03-23
1971-04-07,1971-04-07
1971-04-08,1971-04-07
1971-04-15,1971-04-15
1971-04-16,1971-04-15
1971-05-03,1971-05-03
1971-05-04,1971-05-03
1971-06-21,1971-06-23
1971-06-22,1971-06-23
1971-06-23,1971-06-23
1971-06-24,1971-06-23
1971-06-25,1971-06-23
1971-08-17,1971-08-18
1971-08-18,1971-08-18
1971-08-19,1971-08-18
1971-08-20,1971-08-18
1971-10-06,1971-10-06
1971-10-07,1971-10-06
1971-11-02,1971-11-02
1971-11-03,1971-11-02
1971-12-07,1971-12-08
1971-12-09,1971-12-08
1971-12-21,1971-12-22
1971-12-22,1971-12-22
1971-12-23,1971-12-22
1972-01-03,1972-01-03
1972-01-04,1972-01-03
1972-01-24,1972-01-25
1972-01-25,1972-01-25
1972-01-26,1972-01-25
1972-02-14,1972-02-15
1972-02-15,1972-02-15
1972-02-17,1972-02-15
1972-03-09,1972-03-09
1972-03-10,1972-03-09
1972-03-15,1972-03-15
1972-03-16,1972-03-15
1975-04-17,1975-04-17
1975-04-18,1975-04-17
1976-01-07,1976-01-07
1976-01-08,1976-01-07
1976-02-10,1976-02-10
1976-02-11,1976-02-10
1976-02-18,1976-02-18
1976-02-19,1976-02-18
1976-06-24,1976-06-24
1976-06-25,1976-06-24
1977-12-12,1977-12-13
1977-12-14,1977-12-13
1978-10-16,1978-10-16
1978-10-17,1978-10-16
1968-01-16,1968-01-16
1968-01-31,1968-01-31
1968-02-16,1968-02-16
1968-04-10,1968-04-10
1968-06-24,1968-06-24
1968-07-13,1968-07-13
1968-08-16,1968-08-16
1968-10-08,1968-10-08
1968-10-28,1968-10-28
1968-11-22,1968-11-22
1968-11-27,1968-11-27
1968-12-18,1968-12-18
1969-02-27,1969-02-27
1970-08-29,1970-08-29
1970-11-10,1970-11-10
1971-02-16,1971-02-16
1971-06-03,1971-06-03
1971-07-08,1971-07-08
1971-10-27,1971-10-27
1972-01-10,1972-01-10
1974-03-02,1974-03-02
1975-07-02,1975-07-02
1975-07-21,1975-07-21
1975-08-11,1975-08-11
1975-09-17,1975-09-17
1976-03-24,1976-03-24
1976-04-29,1976-04-29
1976-12-21,1976-12-21
1977-01-06,1977-01-06
1977-02-23,1977-02-23
1977-04-26,1977-04-26
1977-07-06,1977-07-06
1977-08-24,1977-08-24
1978-06-13,1978-06-13
1978-08-15,1978-08-15
1978-12-12,1978-12-12
